"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"4547",3,0,"urban",3,2,0.15,7377,14.25,0.542639516
"4548",4,2,"urban",2,2,0.7,2846,2.85,0.42927413
"4549",2,0,"urban",1,1,0.7,1838,2.85,0.355028155
"4550",1,0,"metropolitan",2,1,0.7,1584,40.85,2.760642918
"4551",2,0,"rural",1,2,0.7,2215,3.8,1.484171036
"4552",2,0,"rural",1,2,0.7,2215,3.8,1.360124108
"4553",4,2,"metropolitan",1,2,1.5,2090,37,0.889553692
"4554",4,2,"urban",1,1,0.7,2892,4.75,0.547970238
"4555",4,2,"metropolitan",2,2,0.05,2067,1.9,0.616015942
"4556",4,2,"metropolitan",2,2,0.05,2067,16.15,0.640618783
"4557",3,1,"urban",1,2,0.7,2130,0.1,1.591529607
"4558",2,0,"urban",1,1,0.05,1838,1.47,0.496402663
"4559",2,0,"urban",1,1,0.05,1838,1.9,0.496402663
"4560",4,1,"metropolitan",2,2,0.7,4386,36.1,0.743677703
"4561",4,0,"metropolitan",4,2,0.3,5306,3.8,0.642691145
"4562",4,0,"metropolitan",4,2,0.3,5306,45.13,1.136948003
"4563",2,0,"metropolitan",2,1,0.3,4298,24.7,2.450395711
"4564",3,1,"urban",2,3,0.7,4181,28.5,0.808879733
"4565",3,1,"urban",2,3,0.7,4181,5.7,1.085312015
"4566",3,1,"urban",2,3,0.7,4181,23.75,1.323119153
"4567",3,0,"urban",1,1,0.7,6274,30.4,0.317095497
"4568",3,0,"metropolitan",3,3,0.3,5176,2.85,0.948702427
"4569",3,0,"metropolitan",3,3,0.3,5176,14.25,0.933130743
"4570",3,0,"metropolitan",3,3,0.3,5176,14.25,1.65353114
"4571",2,0,"urban",2,1,0.3,1395,12.35,0.946277104
"4572",5,1,"metropolitan",3,1,0.05,4509,45.13,0.542812405
"4573",5,1,"metropolitan",3,1,0.05,4509,3.92,1.076840544
"4574",3,1,"urban",2,2,0.7,2980,28.5,0.366763071
"4575",2,0,"urban",1,1,0.15,4286,14.25,0.401482889
"4576",3,0,"metropolitan",2,3,0.3,3803,24.7,0.427861159
"4577",3,0,"metropolitan",2,3,0.3,3803,14.25,0.664347675
"4578",3,0,"metropolitan",2,3,0.3,3803,14.25,0.664347675
"4579",5,1,"urban",2,2,1.5,3062,22.8,0.560284956
"4580",5,1,"urban",2,2,1.5,3062,3.8,0.52995151
"4581",3,1,"urban",1,1,0.05,896,5.7,3.060969899
"4582",3,1,"urban",2,1,0.05,3164,1.96,1.098114894
"4583",4,0,"metropolitan",3,1,0.3,2060,23.75,0.698744378
"4584",2,0,"metropolitan",1,1,0.15,3026,5.7,0.537330091
"4585",3,0,"urban",1,2,0.15,2349,1.96,1.665465226
"4586",3,0,"urban",3,2,0.15,2619,20.9,0.441918462
"4587",3,0,"urban",3,1,0.7,620,42.75,0.688682063
"4588",2,0,"urban",1,0,0.3,1404,7.6,0.820330356
"4589",2,0,"metropolitan",2,1,0.3,2147,20.9,1.606381712
"4590",5,1,"metropolitan",3,2,0.7,3286,12.35,0.605897857
"4591",3,0,"metropolitan",2,3,0.05,2603,3.8,0.341015222
"4592",3,0,"metropolitan",2,3,0.05,2603,2.85,0.341367581
"4593",4,2,"rural",2,2,0.7,2665,57,0.423094989
"4594",4,0,"urban",3,1,0.05,3391,14.25,0.944429458
"4595",3,1,"rural",2,2,0.15,3298,76,2.358722937
"4596",3,1,"metropolitan",1,2,0.3,2292,3.43,1.024060053
"4597",3,1,"metropolitan",1,2,0.3,2292,3.33,1.024060053
"4598",3,1,"metropolitan",3,2,0.7,4074,26.6,0.539641165
"4599",2,0,"metropolitan",2,2,0.7,3057,13.3,1.923858125
"4600",2,0,"metropolitan",2,2,0.7,3057,1.96,2.149427543
"4601",3,0,"metropolitan",3,3,0.05,2527,2.85,1.046635247
